#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  nist: https://airc.nist.gov/
#  owasp: https://genai.owasp.org/
#  ail: https://ailuminate.mlcommons.org/
#  atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas
#  credo: https://www.credoai.com/
#  mit: https://airisk.mit.edu/
#mapping_set_id: risk_to_category
#mapping_set_description: Maps specific AI risks to category-level taxonomy risks (NIST AI RMF, OWASP Top 10 LLM, AILuminate)
#license: https://creativecommons.org/licenses/by/4.0/

subject_id	subject_source	predicate_id	object_id	object_source	mapping_justification
credo-risk-022	credo-ucf	skos:relatedMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-022	credo-ucf	skos:relatedMatch	nist-information-integrity	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-023	credo-ucf	skos:relatedMatch	nist-data-privacy	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-024	credo-ucf	skos:relatedMatch	ail-defamation	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-024	credo-ucf	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-025	credo-ucf	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-026	credo-ucf	skos:relatedMatch	ail-nonviolent-crimes	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-027	credo-ucf	skos:relatedMatch	ail-indiscriminate-weapons-cbrne	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-027	credo-ucf	skos:relatedMatch	ail-specialized-advice	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-027	credo-ucf	skos:relatedMatch	ail-violent-crimes	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-029	credo-ucf	skos:relatedMatch	ail-privacy	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-029	credo-ucf	skos:relatedMatch	ail-specialized-advice	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-029	credo-ucf	skos:relatedMatch	nist-data-privacy	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-030	credo-ucf	skos:relatedMatch	nist-value-chain-and-component-integration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-031	credo-ucf	skos:relatedMatch	nist-value-chain-and-component-integration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-032	credo-ucf	skos:relatedMatch	nist-information-integrity	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-033	credo-ucf	skos:relatedMatch	ail-specialized-advice	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-033	credo-ucf	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
# Removed: credo-risk-033 relatedMatch to LLM08  -  lack of capabilities has no connection to vector/embedding security
# Removed: credo-risk-035 relatedMatch to LLM08  -  lack of robustness has no connection to vector/embedding security
credo-risk-036	credo-ucf	skos:relatedMatch	ail-privacy	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-036	credo-ucf	skos:relatedMatch	ail-specialized-advice	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-036	credo-ucf	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-036	credo-ucf	skos:relatedMatch	nist-data-privacy	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-036	credo-ucf	skos:broadMatch	llm022025-sensitive-information-disclosure	owasp-llm-2.0	# Compromised PII is a specific type of sensitive information disclosure
credo-risk-036	credo-ucf	skos:relatedMatch	llm052025-improper-output-handling	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-036	credo-ucf	skos:relatedMatch	llm072025-system-prompt-leakage	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-037	credo-ucf	skos:relatedMatch	ail-privacy	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-037	credo-ucf	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
credo-risk-037	credo-ucf	skos:relatedMatch	nist-data-privacy	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-037	credo-ucf	skos:closeMatch	llm022025-sensitive-information-disclosure	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-037	credo-ucf	skos:relatedMatch	llm072025-system-prompt-leakage	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-038	credo-ucf	skos:relatedMatch	ail-privacy	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-038	credo-ucf	skos:relatedMatch	nist-information-security	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-038	credo-ucf	skos:broadMatch	llm022025-sensitive-information-disclosure	owasp-llm-2.0	# Exfiltration of secrets via AI system is a specific form of sensitive info disclosure
credo-risk-038	credo-ucf	skos:relatedMatch	llm072025-system-prompt-leakage	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-039	credo-ucf	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-039	credo-ucf	skos:relatedMatch	nist-intellectual-property	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-040	credo-ucf	skos:relatedMatch	nist-information-security	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-040	credo-ucf	skos:relatedMatch	llm042025-data-and-model-poisoning	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-040	credo-ucf	skos:relatedMatch	llm072025-system-prompt-leakage	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
# Removed: credo-risk-040 relatedMatch to LLM08  -  general security weaknesses are not specifically vector/embedding issues
credo-risk-041	credo-ucf	skos:relatedMatch	nist-information-security	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-041	credo-ucf	skos:relatedMatch	llm042025-data-and-model-poisoning	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-041	credo-ucf	skos:relatedMatch	llm072025-system-prompt-leakage	owasp-llm-2.0	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-047	credo-ucf	skos:relatedMatch	nist-value-chain-and-component-integration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-047	credo-ucf	skos:broadMatch	llm032025-supply-chain	owasp-llm-2.0	# Insufficient upstream transparency is a specific supply chain integrity concern
credo-risk-048	credo-ucf	skos:relatedMatch	nist-value-chain-and-component-integration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
credo-risk-048	credo-ucf	skos:broadMatch	llm032025-supply-chain	owasp-llm-2.0	# Third-party dependencies on models/compute/resources is a specific supply chain risk
credo-risk-049	credo-ucf	skos:relatedMatch	nist-value-chain-and-component-integration	nist-ai-rmf	credo-ucf.sssom_from_tsv_data.yaml
atlas-attribute-inference-attack	ibm-risk-atlas	skos:broadMatch	nist-data-privacy	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-attribute-inference-attack	ibm-risk-atlas	skos:broadMatch	nist-information-security	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-attribute-inference-attack	ibm-risk-atlas	skos:broadMatch	llm022025-sensitive-information-disclosure	owasp-llm-2.0	# Attribute inference is a specific attack vector for disclosing sensitive information
atlas-confidential-data-in-prompt	ibm-risk-atlas	skos:relatedMatch	ail-privacy	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-confidential-data-in-prompt	ibm-risk-atlas	skos:broadMatch	nist-intellectual-property	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-confidential-data-in-prompt	ibm-risk-atlas	skos:broadMatch	llm022025-sensitive-information-disclosure	owasp-llm-2.0	# Confidential data in prompts is a specific pathway to sensitive info disclosure
atlas-confidential-information-in-data	ibm-risk-atlas	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-confidential-information-in-data	ibm-risk-atlas	skos:broadMatch	nist-intellectual-property	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-confidential-information-in-data	ibm-risk-atlas	skos:broadMatch	llm022025-sensitive-information-disclosure	owasp-llm-2.0	# Confidential info in training data is a specific source of sensitive info disclosure
atlas-copyright-infringement	ibm-risk-atlas	skos:broadMatch	nist-intellectual-property	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-dangerous-use	ibm-risk-atlas	skos:relatedMatch	ail-defamation	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-dangerous-use	ibm-risk-atlas	skos:relatedMatch	ail-hate	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-dangerous-use	ibm-risk-atlas	skos:relatedMatch	ail-violent-crimes	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-dangerous-use	ibm-risk-atlas	skos:broadMatch	nist-cbrn-information-or-capabilities	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-acquisition	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-acquisition	ibm-risk-atlas	skos:relatedMatch	llm032025-supply-chain	owasp-llm-2.0	# Downgraded: data acquisition is a governance/legal risk, not a supply chain component integrity issue
atlas-data-bias	ibm-risk-atlas	skos:broadMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-contamination	ibm-risk-atlas	skos:relatedMatch	ail-privacy	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-data-contamination	ibm-risk-atlas	skos:broadMatch	nist-information-security	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-contamination	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-contamination	ibm-risk-atlas	skos:relatedMatch	llm032025-supply-chain	owasp-llm-2.0	# Downgraded: data quality issue, not supply chain vulnerability  -  primary mapping is LLM04
atlas-data-curation	ibm-risk-atlas	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-data-curation	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-curation	ibm-risk-atlas	skos:relatedMatch	llm032025-supply-chain	owasp-llm-2.0	# Downgraded: data curation is an internal data quality issue, not a third-party supply chain vulnerability
atlas-data-poisoning	ibm-risk-atlas	skos:broadMatch	nist-information-security	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-poisoning	ibm-risk-atlas	skos:broadMatch	llm042025-data-and-model-poisoning	owasp-llm-2.0	ibm2owasp_from_tsv_data.yaml
atlas-data-privacy-rights	ibm-risk-atlas	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-data-privacy-rights	ibm-risk-atlas	skos:broadMatch	nist-data-privacy	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-provenance	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-provenance	ibm-risk-atlas	skos:broadMatch	llm032025-supply-chain	owasp-llm-2.0	ibm2owasp_from_tsv_data.yaml
atlas-data-transfer	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-transparency	ibm-risk-atlas	skos:broadMatch	nist-information-integrity	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-transparency	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-usage-rights	ibm-risk-atlas	skos:broadMatch	nist-data-privacy	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-usage-rights	ibm-risk-atlas	skos:broadMatch	nist-intellectual-property	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-usage-rights	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-data-usage-rights	ibm-risk-atlas	skos:broadMatch	llm032025-supply-chain	owasp-llm-2.0	ibm2owasp_from_tsv_data.yaml
atlas-decision-bias	ibm-risk-atlas	skos:broadMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-evasion-attack	ibm-risk-atlas	skos:broadMatch	nist-information-security	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-exposing-personal-information	ibm-risk-atlas	skos:broadMatch	nist-data-privacy	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-exposing-personal-information	ibm-risk-atlas	skos:broadMatch	llm022025-sensitive-information-disclosure	owasp-llm-2.0	ibm2owasp_from_tsv_data.yaml
atlas-extraction-attack	ibm-risk-atlas	skos:broadMatch	nist-information-security	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-generated-content-ownership	ibm-risk-atlas	skos:broadMatch	nist-intellectual-property	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-hallucination	ibm-risk-atlas	skos:exactMatch	nist-confabulation	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-harmful-code-generation	ibm-risk-atlas	skos:broadMatch	nist-dangerous-violent-or-hateful-content	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-harmful-code-generation	ibm-risk-atlas	skos:broadMatch	nist-information-security	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
# Removed: atlas-harmful-code-generation relatedMatch to LLM09  -  harmful code is a security issue, not misinformation
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-child-sexual-exploitation	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-hate	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-indiscriminate-weapons-cbrne	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-nonviolent-crimes	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-sex-related-crimes	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-sexual-content	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-suicide-and-self-harm	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	ail-violent-crimes	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	nist-cbrn-information-or-capabilities	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:closeMatch	nist-dangerous-violent-or-hateful-content	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	nist-data-privacy	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-harmful-output	ibm-risk-atlas	skos:relatedMatch	nist-obscene-degrading-and-or-abusive-content	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-human-exploitation	ibm-risk-atlas	skos:broadMatch	nist-obscene-degrading-and-or-abusive-content	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-impact-on-affected-communities	ibm-risk-atlas	skos:broadMatch	nist-harmful-bias-or-homogenization	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-impact-on-cultural-diversity	ibm-risk-atlas	skos:broadMatch	nist-information-integrity	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-impact-on-human-agency	ibm-risk-atlas	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-impact-on-human-agency	ibm-risk-atlas	skos:broadMatch	nist-information-integrity	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-impact-on-the-environment	ibm-risk-atlas	skos:exactMatch	nist-environmental-impacts	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-improper-retraining	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-improper-retraining	ibm-risk-atlas	skos:relatedMatch	llm032025-supply-chain	owasp-llm-2.0	ibm2owasp_from_tsv_data.yaml
atlas-improper-usage	ibm-risk-atlas	skos:broadMatch	nist-human-ai-configuration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-inaccessible-training-data	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-inaccessible-training-data	ibm-risk-atlas	skos:broadMatch	llm032025-supply-chain	owasp-llm-2.0	# Inaccessible training data is a specific supply chain integrity/provenance issue
atlas-incomplete-advice	ibm-risk-atlas	skos:relatedMatch	ail-specialized-advice	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-incomplete-advice	ibm-risk-atlas	skos:broadMatch	nist-information-integrity	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-incomplete-advice	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-incomplete-advice	ibm-risk-atlas	skos:broadMatch	llm092025-misinformation	owasp-llm-2.0	ibm2owasp_from_tsv_data.yaml
atlas-incomplete-usage-definition	ibm-risk-atlas	skos:broadMatch	nist-human-ai-configuration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-incorrect-risk-testing	ibm-risk-atlas	skos:broadMatch	nist-value-chain-and-component-integration	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
atlas-ip-information-in-prompt	ibm-risk-atlas	skos:relatedMatch	ail-intellectual-property	ailuminate-v1.0	ailuminate-v1.0.sssom_from_tsv_data.yaml
atlas-ip-information-in-prompt	ibm-risk-atlas	skos:broadMatch	nist-data-privacy	nist-ai-rmf	ibm2nistgenai_from_tsv_data.yaml
